Title,Price,Location,Date,Link
107 Gaj home with covered car parking near by main market,"₹ 45,00,000","JAWAHAR COLONY, FARIDABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
2BHK Flat at shivane with covered car parking Brand new condition,"₹ 37,99,000","SHIVANE, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-shivane-pune-iid-1803879123
Covered car parking for sale (negotiable),"₹ 10,00,000","SUBHASPALLY, SILIGURI",Date not available,https://www.olx.in/item/for-sale-shops-offices-c1733-168-sq-ft-in-subhaspally-siliguri-iid-1805786910
UV Proof All Weather Car Cover Compatible with Mercedes Benz C-Cla...,Price not available,"PAREL, MUMBAI",Date not available,https://www.olx.in/item/other-services-c625-uv-proof-all-weather-car-cover-compatible-with-mercedes-benz-c-cla-in-parel-mumbai-iid-1807231113
Waterproof Car Body Cover Compatible All Weather Protection With Tr...,"₹ 1,399","PAREL, MUMBAI",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-parel-mumbai-iid-1807230650
2bhk semi furnished with covered car parking flat availble for rent,"₹ 22,500","DHANORI, PUNE",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-890-sq-ft-in-dhanori-pune-iid-1806761349
Brembo brake caliper covers all colours available for all cars,₹ 699,"BEGUMPET, HYDERABAD",Date not available,https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400
Defander car stepni cover,"₹ 15,000","ASHOK VIHAR, DELHI",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ashok-vihar-delhi-iid-1669544151
Family used 2011 manza diesel car full cover insurance (idv 262000),"₹ 1,79,999","M.G.ROAD, THRISSUR",Date not available,https://www.olx.in/item/cars-c84-used-tata-manza-in-mgroad-thrissur-iid-1807207480
Car seat cover wooden bead balls,₹ 499,"DANI LIMDA, AHMEDABAD",Date not available,https://www.olx.in/item/other-household-items-c293-car-seat-cover-wooden-bead-balls-in-dani-limda-ahmedabad-iid-1805504221
2.5 years old lift covered car parking,"₹ 17,000","PARK TOWN, MADURAI",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-875-sq-ft-in-park-town-madurai-iid-1804588955
Honda Amaze 2013 2new Tyres Android new system New Seat cover,"₹ 3,75,000","ADAT, KERALA",Date not available,https://www.olx.in/item/cars-c84-used-honda-amaze-in-adat-kerala-iid-1807189105
Duplex house with covered Car parking,"₹ 53,00,000","GUDUVANCHERY, CHENNAI",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-1300-sq-ft-in-guduvanchery-chennai-iid-1807173986
Maruti Car Rim+FREE Wheel Cover,"₹ 1,100","SECTOR 120, NOIDA",Date not available,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-120-noida-iid-1805660953
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001","NANGLA GURJAN, FARIDABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
2BHK FLAT SALE Magnolia Fantasia with covered car parking No broaker,"₹ 26,90,000","BARASAT- BARRACKPORE ROAD, KOLKATA",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-689-sq-ft-in-barasat-barrackpore-road-kolkata-iid-1791888291
2bhk in 50lacs with Covered car parking in Ravet,"₹ 50,00,000","RAVET, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-877-sq-ft-in-ravet-pune-iid-1807154093
2bhk flat rent family car parking covered om soc katraj,"₹ 17,500","KATRAJ, PUNE",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-915-sq-ft-in-katraj-pune-iid-1807134293
clean and pure original car with insurence covered,"₹ 5,70,000","VICTORIYA POOL, MANDI",Date not available,https://www.olx.in/item/cars-c84-used-honda-amaze-in-victoriya-pool-mandi-iid-1804409599
Car seat covers floor Matt and steding covers available stching ftin,"₹ 3,600","HYDERGUDA, HYDERABAD",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-hyderguda-hyderabad-iid-1695988038
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111","DABUA COLONY, FARIDABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
Car seat cover vsp,"₹ 4,200","SEETAMMA PETA, VISAKHAPATNAM",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294
